5	DA	100	10	0
5	DA	100	2	0
5	A	200	15	0
5	A	100	2	0
5	5B	600	10	20
5	6B	400	10	10
5	-	75	2	4
5	H6B	700	10	40
5	8B	600	10	40
5	H8B	660	10	40
5	2B	600	10	40
5	H2B	660	10	40
5	TSA	440	5	0
5	TSB	100	3	0
5	-	201	2	0
5	X(仏)	300	25	4
5	X(仏)	300	4	4
5	X(仏)	200	25	4
5	X(仏)	200	4	4
5	Y(仏)	175	25	3
5	Y(仏)	175	4	3
5	X(無)(道)(神)	400	25	10
5	X(無)(道)(神)	400	4	10
5	X(無)(道)	300	25	0
5	X(無)(道)	300	4	0
5	X(無)	175	25	5
5	X(無)	175	2	5
5	Y(無)	150	25	3
5	Y(無)	150	2	3
5	X(道)	150	25	0
5	X(道)	150	2	0
5	Y(道)	600	25	40
5	Y(道)	900	25	40
5	Y(道)	1100	25	40
5	Y(道)	600	10	40
5	Y(道)	900	10	40
5	Y(道)	1100	10	40
5	X(神)	125	23	5
5	X(神)	125	1	5
5	Y(神)	100	25	2
5	Y(神)	100	25	5
5	Y(神)	100	1	2
5	Y(神)	100	2	5
5	求魂(赤)	225	15	5
5	求魂(赤)	225	3	5
5	求魂(青)	400	15	10
5	求魂(青)	400	8	10
5	求魂(黄)	200	15	10
5	求魂(黄)	200	3	10
5	慈雨	200	20	5
5	慈雨	200	2	5
5	黄金の剣	800	20	40
5	黄金の剣	800	10	40
5	インフルーエンス	200	10	5
5	インフルーエンス	200	2	5
5	垂聴	200	15	5
5	垂聴	250	15	5
5	垂聴	200	2	5
5	垂聴	250	2	5
5	十七条(赤)	120	10	4
5	十七条(赤)	120	2	4
5	十七条(黄)	100	10	4
5	十七条(黄)	100	2	4
5	十七条(青)	80	10	4
5	十七条(青)	80	2	4
5	天道	200	2	0
5	日出	600	5	100
5	人符	300	2	100
5	～慎め	1500	10	100
